titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
La Nuit au musée,2007-02-07,Comédie_Fantastique,108,Shawn Levy,Twentieth Century Fox France,"Ben Stiller,Carla Gugino,Dick Van Dyke",U.S.A.,Anglais,Long-métrage,2006,27,"Le Muséum d'Histoire Naturelle renferme dans ses murs un secret mystérieux et stupéfiant que Larry, nouveau gardien de sécurité, ne va pas tarder à découvrir avec affolement : la nuit, toutes les expositions prennent vie ! Sous ses yeux, les soldats romains et les cow-boys miniatures se lancent dans une guerre acharnée, Attila et ses Huns commencent à piller les expositions avoisinantes, la momie tente de sortir de son sarcophage, le squelette du redoutable – mais néanmoins attachant – tyrannosaure rôde dans les couloirs... Le chaos est total ! Larry pourra-t-il remettre de l'ordre dans ses collections et sauver le musée ?",109640,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/88/34/18701946.jpg,694177
Odette Toulemonde,2007-02-07,Comédie,104,Eric-Emmanuel Schmitt,Pathé,"Catherine Frot,Albert Dupontel,Jacques Weber",Belgique,Français,Long-métrage,2006,23,Odette Toulemonde n'a objectivement rien pour être heureuse mais l'est. Balthazar Balsan a tout pour être heureux mais ne l'est pas.,59831,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/63/12/29/18699288.jpg,317479
Le Petit monde de Charlotte,2007-02-07,Aventure_Comédie_Famille_Fantastique,97,Gary Winick,Paramount Pictures France,"Dakota Fanning,Julia Roberts,Steve Buscemi",U.S.A.,Anglais,Long-métrage,2006,16,,60132,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/12/41/18709698.jpg,105232
Hannibal Lecter : les origines du mal,2007-02-07,Thriller,115,Peter Webber,Quinta Distribution,"Gaspard Ulliel,Gong Li,Rhys Ifans",France,Anglais,Long-métrage,2007,25,"Comment un petit garçon comme les autres est-il devenu l'un des criminels les plus fascinant qui soit ? Au travers du parcours atypique d'un adolescent meurtri par les atrocités vécues pendant la Seconde Guerre Mondiale, suivez la naissance de l'incarnation absolue du mal... Hannibal Lecter.",61260,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/18/48/18724206.jpg,321940
Taxi 4,2007-02-14,Action_Comédie_Policier,90,Gérard Krawczyk,ARP Sélection,"Samy Naceri,Frédéric Diefenthal,Bernard Farcy",France,Français,Long-métrage,2007,6,,112452,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/73/33/18723066.jpg,2010736
Le Dernier roi d'Ecosse,2007-02-14,Biopic_Drame_Historique,123,Kevin Macdonald,Twentieth Century Fox France,"Forest Whitaker,Gillian Anderson,James McAvoy",Grande-Bretagne,Anglais,Long-métrage,2006,25,"Jeune médecin écossais tout juste diplômé, Nicholas Garrigan débarque en Ouganda en quête d'aventure et décidé à venir en aide à la population.",61207,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/24/17/18737349.jpg,92000
The Good German,2007-02-14,Guerre_Romance_Thriller,105,Steven Soderbergh,Warner Bros. France,"George Clooney,Cate Blanchett,Tobey Maguire",U.S.A.,Anglais,Long-métrage,2006,27,"En 1945, le correspondant de guerre américain Jake Geismer débarque à Berlin pour couvrir la conférence de Postdam où les Alliés décideront du sort de l'Allemagne vaincue, parleront de l'avenir de l'Europe... et se disputeront âprement les restes du gâteau.",33465,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/63/12/39/18721592.jpg,67323
La Môme,2007-02-14,Biopic_Drame_Musical,140,Olivier Dahan,TFM Distribution,"Marion Cotillard,Jean-Pierre Martins,Gérard Depardieu",France,Français,Long-métrage,2007,27,"De son enfance à la gloire, de ses victoires à ses blessures, de Belleville à New York, l'exceptionnel parcours d'Edith Piaf. A travers un destin plus incroyable qu'un roman, découvrez l'âme d'une artiste et le coeur d'une femme. Intime, intense, fragile et indestructible, dévouée à son art jusqu'au sacrifice, voici la plus immortelle des chanteuses...",59578,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/15/65/18700879.jpg,1573648
Lettres d'Iwo Jima,2007-02-21,Guerre,139,Clint Eastwood,Warner Bros. France,"Ken Watanabe,Kazunari Ninomiya,Shido Nakamura",U.S.A.,Japonais,Long-métrage,2006,25,"En 1945, les armées américaine et japonaise s'affrontèrent sur l'île d'Iwo Jima. Quelques décennies plus tard, des centaines de lettres furent extraites de cette terre aride, permettant enfin de donner un nom, un visage, une voix à ces hommes ainsi qu'à leur extraordinaire commandant.",112342,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/30/19/18721539.jpg,136677
Ghost Rider,2007-02-21,Action_Fantastique,110,Mark Steven Johnson,SND,"Nicolas Cage,Eva Mendes,Wes Bentley",U.S.A.,Anglais,Long-métrage,2007,13,"Pour sauver son père victime d'un accident, le cascadeur Johnny Blaze a vendu son âme au diable. Mais ce marché a un prix qu'il ne tarde pas à découvrir : humain la journée, il devient le Rider la nuit, un chasseur de primes traquant les âmes échappées de l'enfer.",28933,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/35/23/95/18707057.jpg,523901
La Ferme en folie,2007-02-21,Animation_Comédie,89,Steve Oedekerk,Paramount Pictures France,"Laurent Gerra,Emmanuel Garijo,Claude Brosset",U.S.A.,Anglais,Long-métrage,2006,76,"Otis la vache est le plus dissipé de tous les pensionnaires de la ferme. Lui et ses copains, Peps la souris, Freddy le furet, Bec le coq et Porc le cochon, sont toujours partants pour faire les 400 coups. Otis, faut-il l'avouer, est un rien bête, et fier de l'être...",58944,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/98/20/18712338.jpg,160674
Bug,2007-02-21,Drame_Epouvante-horreur_Thriller,100,William Friedkin,Metropolitan FilmExport,"Ashley Judd,Harry Connick Jr,Lynn Collins",U.S.A.,Anglais,Long-métrage,2006,22,"Agnès vit seule dans un motel désert. Elle est hantée par le souvenir de son enfant, kidnappé plusieurs années auparavant, et redoute la visite de son ex-mari, Jerry, un homme violent",57476,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/60/01/68/18712329.jpg,29486
"Paheli, le fantôme de l'amour",2007-02-24,Fantastique_Romance,140,Amol Palekar,-,"Shah Rukh Khan,Rani Mukerji,Juhi Chawla",Inde,Hindi,Long-métrage,2005,15,,60795,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/73/19/25/19193744.jpg,632000
The Return,2007-02-27,Drame_Thriller,85,Asif Kapadia,UGC Ph,"Sarah Michelle Gellar,Sam Shepard,Peter O'Brien",U.S.A.,Anglais,Long-métrage,2006,12,"Joanna Mills est une jeune femme du Midwest, à la forte personnalité, décidée à découvrir la vérité qui se cache derrière les visions de plus en plus terrifiantes qui la hantent. Elle a entamé une belle carrière comme représentante dans une société de camions. Mais sa vie privée est difficile ; éloignée de son père, harcelée par son ex-petit ami, peu entourée, Joanna craint de perdre le contrôle.",114885,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/62/93/55/18811379.jpg,4479621
Dreamgirls,2007-02-28,Comédie musicale_Drame_Musical,131,Bill Condon,Paramount Pictures France,"Beyoncé Knowles-Carter,Jamie Foxx,Eddie Murphy",U.S.A.,Anglais,Long-métrage,2006,24,L'action de Dreamgirls débute dans la première moitié des turbulentes,60581,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/26/45/18747283.jpg,216381
Chronique d'un scandale,2007-02-28,Drame_Thriller,92,Richard Eyre,Twentieth Century Fox France,"Cate Blanchett,Judi Dench,Tom Georgeson",Grande-Bretagne,Anglais,Long-métrage,2006,17,"Enseignante, à la veille de la retraite dans un collège de Londres, Barbara Covett n'a rien d'autre dans sa vie que son travail et un chat. Sa solitude prend fin avec l'arrivée du nouveau professeur d'art, Sheba Hart. La jeune femme se révèle l'amie idéale dont Barbara avait toujours rêvé.",109551,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/26/70/18739714.jpg,82448
Au nom de la liberté,2007-02-28,Drame_Historique_Thriller,104,Phillip Noyce,StudioCanal,"Derek Luke,Tim Robbins,Mncedisi Shabangu",U.S.A.,Anglais,Long-métrage,2006,17,"En Afrique du Sud, Patrick Chamusso mène une vie simple entre sa famille et son poste à la raffinerie de pétrole de Secunda.",108685,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/63/05/42/18739402.jpg,2026997
Michou d'Auber,2007-02-28,Comédie dramatique,124,Thomas Gilou,EuropaCorp Distribution,"Gérard Depardieu,Nathalie Baye,Mathieu Amalric",France,Français,Long-métrage,2005,19,"Messaoud, 9 ans, est un enfant d'Aubervilliers. Parce que sa mère est malade, son père est obligé de le placer dans une famille d'accueil.",61510,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/31/39/18710935.jpg,328476
Contre-enquête,2007-03-07,Policier,85,Franck Mancuso,Pathé,"Jean Dujardin,Laurent Lucas,Aurélien Recoing",France,Français,Long-métrage,2007,20,"Malinowski, Capitaine à la Crim', a l'habitude d'être confronté aux faits-divers les plus durs. Mais lorsque sa propre fille est assassinée, tout bascule. Bouleversés par sa détresse, ses collègues mènent l'enquête au pas de charge et un suspect est bientôt arrêté, puis condamné.",112382,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/09/30/18736402.jpg,323499
Le Voile des illusions,2007-03-07,Drame_Romance,124,John Curran,Metropolitan FilmExport,"Edward Norton,Naomi Watts,Liev Schreiber",U.S.A.,Anglais,Long-métrage,2006,17,"Londres, 1920. Après un mariage trop vite accepté pour convenances sociales, Kitty part avec son mari, Walter, médecin bactériologiste, pour vivre à Shanghai où il doit mener des recherches. Rapidement, la jeune femme tombe amoureuse d'un autre homme.",71445,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/35/82/18721717.jpg,84934
La Cité interdite,2007-03-14,Action_Drame_Romance,114,Yimou Zhang,SND,"Gong Li, Chow Yun-Fat,Jay Chou",Chine,Mandarin,Long-métrage,2006,23,"Chine, Xème siècle, Dynastie Tang. De retour à la Cité interdite après une longue absence, l'Empereur découvre qu'un complot se trame au coeur même de son palais. Les dangereuses alliances et les manipulations des conspirateurs n'ont qu'un seul but : prendre le pouvoir du plus grand Empire au monde. La trahison viendra de l'intérieur : une rébellion menée par la reine elle-même.",108517,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/62/85/44/18740179.jpg,427400
Hyper tension,2007-03-14,Action_Thriller,83,Mark Neveldine,TFM Distribution,"Jason Statham,Amy Smart,Jose Pablo Cantillo",U.S.A.,Anglais,Long-métrage,2006,11,"Chev Chelios est un tueur à gages qui n'a pas rempli un banal contrat : la veille, il a en effet raté sa cible. Et ce matin-là, Chev est réveillé par un coup de téléphone de bien mauvaise augure. A l'autre bout du fil, le malfrat Ricky Verona lui apprend qu'il a été empoisonné dans son sommeil et qu'il ne lui reste qu'une heure à vivre...",108842,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/23/50/18742789.jpg,127061
Ecrire pour exister,2007-03-14,Drame,124,Richard LaGravenese,Paramount Pictures France,"Hilary Swank,Patrick Dempsey,Scott Glenn",U.S.A.,Anglais,Long-métrage,2007,18,"Erin Gruwell, enseignante novice de 23 ans, a choisi comme premier poste un lycée difficile de Long Beach. Ses élèves l'ignorent superbement et se regroupent en clans, prêts à s'affronter au moindre prétexte. L'ambiance empire au fil des jours, en dépit des efforts sincères et maladroits d'Erin pour prendre en main cette classe d'""irrécupérables"".",60975,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/77/81/18719369.jpg,163878
Par effraction,2007-03-14,Drame_Romance,119,Anthony Minghella,Buena Vista International,"Jude Law,Juliette Binoche,Robin Wright",U.S.A.,Anglais,Long-métrage,2006,21,"Will traverse une période difficile avec Liv, sa compagne. Il vient en plus d'installer son cabinet d'architecte paysagiste dans King's Cross, un quartier de Londres en pleine réhabilitation. Ses luxueux locaux attirent une bande du coin qui le cambriole à répétition. Excédé, Will finit par suivre l'un des jeunes voleurs jusque chez lui où le jeune homme, Miro, vit avec sa mère, Amira, une réfugiée bosniaque.",59799,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/27/46/18688969.jpg,131227
Ma place au soleil,2007-03-14,Comédie dramatique,105,Eric de Montalier,StudioCanal,"Nicole Garcia,Jacques Dutronc,André Dussollier",France,Français,Long-métrage,2007,13,"Adolescent, on a le sentiment profond que la vie qui s'annonce verra se succéder aventures et bonheurs en tout genre. Quoi qu'il arrive, on saura appréhender les situations les plus délicates avec une virtuosité dépassant l'entendement.",109739,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/63/18/03/18741011.jpg,78346
Harold & Kumar Chassent Le Burger,2007-03-15,Comédie,88,Danny Leiner,Metropolitan FilmExport,"John Cho,Kal Penn,Paula Garces",U.S.A.,Anglais,Long-métrage,2004,129,"Harold et Kumar, deux colocataires amateurs de ganja, tombent sur une publicité du fast-food de luxe White castle, et décident de tout entreprendre pour manger ces délicieux burgers. Sur le chemin, ils seront confrontés à la police, à des rednecks et à encore beaucoup d'autre épreuves tout en cherchant de quoi fumer.",57313,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/35/41/84/19119604.jpg,5480378
J'attends quelqu'un,2007-03-21,Comédie dramatique,96,Jérôme Bonnell,Bac Films,"Jean-Pierre Darroussin,Emmanuelle Devos,Eric Caravaca",France,Français,Long-métrage,2007,24,Une petite ville...,110999,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/63/26/45/18742840.jpg,67017
"Ensemble, c'est tout",2007-03-21,Comédie dramatique,97,Claude Berri,Pathé,"Audrey Tautou,Guillaume Canet,Laurent Stocker",France,Français,Long-métrage,2007,24,"La rencontre de quatre destins croisés qui vont finir par s'apprivoiser, se connaître, s'aimer, vivre sous le même toit.",109636,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/63/78/01/18744345.jpg,657191
Ne touchez pas la hache,2007-03-28,Drame_Romance,137,Jacques Rivette,Les Films du Losange,"Jeanne Balibar,Guillaume Depardieu,Bulle Ogier",France,Français,Long-métrage,2007,24,"Armand de Montriveau, général français, débarque dans une île espagnole lors de l'expédition française pour rétablir l'autorité de Ferdinand VII. C'est dans le monastère qu'abrite cette île qu'il découvre que soeur Thérèse est la femme qu'il recherche depuis cinq ans. Il obtient l'autorisation de la voir en présence de la mère supérieure.",110126,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/85/81/18727076.jpg,30673
Le Secret de Terabithia,2007-03-28,Aventure_Drame_Fantastique,96,Gábor Csupó,SND,"Josh Hutcherson,AnnaSophia Robb,Zooey Deschanel",U.S.A.,Anglais,Long-métrage,2007,19,"Jess, un garçon issu d'une modeste famille nombreuse et Leslie, fille unique d'un couple d'écrivains, s'inventent un monde imaginaire, Térabithia, pour fuir la réalité de leur vie quotidienne... Mais lorsque cet univers magique prend vie, ils se retrouvent confrontés à des aventures plus périlleuses que ce qu'ils avaient pu imaginer.",118164,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/63/01/37/18742142.jpg,361394
Un nom pour un autre,2007-03-28,Comédie dramatique_Romance,122,Mira Nair,Twentieth Century Fox France,"Linus Roache, Tabu,Irrfan Khan",U.S.A.,Anglais,Long-métrage,2006,18,"Peu de temps après leur mariage arrangé, Ashoke et Ashima quittent Calcutta pour New York. Etrangers l'un à l'autre comme à ce nouveau pays, ils s'efforcent de s'adapter. Ashima donne bientôt naissance à un fils qu'Ashoke baptise du nom du célèbre auteur russe, Gogol.",60685,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/63/12/35/18720127.jpg,715026
Miss Potter,2007-03-28,Drame,88,Chris Noonan,Bac Films,"Renée Zellweger,Ewan McGregor,Emily Watson",U.S.A.,Anglais,Long-métrage,2006,16,"A l'époque de l'Angleterre victorienne, Beatrix aurait seulement dû rêver d'un beau mariage, comme toutes les jeunes femmes de sa condition, mais elle s'intéressait à beaucoup trop de choses. La nature et les animaux la fascinaient, tout comme les sciences, le dessin et la peinture. Il n'aura fallu qu'une lettre illustrée pour que son destin bascule, il aura fallu tout son courage pour qu'elle puisse vivre, aimer et exister comme aucune femme avant elle.",52878,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/60/15/38/18749142.jpg,49104
Alpha Dog,2007-03-28,Biopic_Drame,116,Nick Cassavetes,Metropolitan FilmExport,"Emile Hirsch,Justin Timberlake,Sharon Stone",U.S.A.,Anglais,Long-métrage,2006,21,"Dans une banlieue riche de L.A., Johnny et sa petite bande jouent aux durs et trafiquent un peu. Livrés à eux-mêmes, leur vie n'est qu'une quête permanente d'émotions fortes. Pour s'assurer que Jake lui remboursera bien tout l'argent qu'il lui doit, Johnny et sa bande kidnappent son petit frère, Zack.",58222,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/06/87/18719463.jpg,129674
